Video,Resolution,QP,PSNR,BPP
HoneyBee,1920x1080,17,38.78887138981947,0.4693387474279835
HoneyBee,1920x1080,22,37.468165627182266,0.061813522376543216
HoneyBee,1920x1080,27,36.08267652971,0.007624299125514403
HoneyBee,1920x1080,32,34.344569643895674,0.0024659786522633746
HoneyBee,1920x1080,37,32.347265820850765,0.0013791345164609053
HoneyBee,1920x1080,42,29.873346989256703,0.0008809284979423869
HoneyBee,960x540,17,38.643237318568076,0.12141234567901235
HoneyBee,960x540,22,36.86492891331852,0.021307587448559668
HoneyBee,960x540,27,34.76830269496472,0.007875874485596708
HoneyBee,960x540,32,32.37387577175297,0.0042427469135802465
HoneyBee,960x540,37,29.882591399844717,0.0026087705761316873
HoneyBee,960x540,42,27.268288268218733,0.0017446244855967078
Beauty,960x540,17,36.307490881675776,0.6642604423868312
Beauty,960x540,22,35.25339531814578,0.13139092078189302
Beauty,960x540,27,34.65943049706934,0.05371296296296296
Beauty,960x540,32,33.759441250677206,0.02665270061728395
Beauty,960x540,37,32.470642124823925,0.013420833333333331
Beauty,960x540,42,30.739141012133533,0.006509696502057613
Beauty,1920x1080,17,36.63394761240751,1.3275757651748972
Beauty,1920x1080,22,34.20696771453145,0.4119153935185185
Beauty,1920x1080,27,33.13194645269505,0.05588784079218107
Beauty,1920x1080,32,32.67888445306432,0.01734562757201646
Beauty,1920x1080,37,32.022170637885054,0.008742335390946501
Beauty,1920x1080,42,30.919696072522363,0.004344110082304528
YachtRide,1920x1080,17,40.89231481597335,0.5350512088477366
YachtRide,1920x1080,22,38.80148707306966,0.2870655092592593
YachtRide,1920x1080,27,36.435688611657426,0.1522617734053498
YachtRide,1920x1080,32,33.965970083996176,0.07655259130658436
YachtRide,1920x1080,37,31.461205299468478,0.035999247685185184
YachtRide,1920x1080,42,28.917253125277014,0.014795949074074074
YachtRide,960x540,17,39.59873122377443,0.8127457818930041
YachtRide,960x540,22,37.09708777912866,0.4516082561728395
YachtRide,960x540,27,34.472613973865556,0.2323562242798353
YachtRide,960x540,32,31.856650248444122,0.1073159465020576
YachtRide,960x540,37,29.362255275077864,0.04487201646090535
YachtRide,960x540,42,26.980849273256826,0.01643477366255144
FlowerKids,1920x1080,17,41.170520797015975,0.255477449845679
FlowerKids,1920x1080,22,38.92385993343697,0.1220623392489712
FlowerKids,1920x1080,27,36.41243965208294,0.0606032600308642
FlowerKids,1920x1080,32,33.746492758320954,0.030042406121399176
FlowerKids,1920x1080,37,31.04277303605303,0.014927494855967078
FlowerKids,1920x1080,42,28.34654289439495,0.006943222736625515
FlowerKids,960x540,17,39.70942529008221,0.4404096707818929
FlowerKids,960x540,22,36.963634212703965,0.2202912037037037
