Video,Codec,Resolution,Bitrate,QP,BPP,PSNR,Inter,Intra
Beauty,H.265,960x480,10292.3,17,0.186131004,26.127227,1,0
Beauty,H.265,960x480,2376.3,22,0.042974175,26.162582,1,0
Beauty,H.265,960x480,879.2,27,0.015899884,26.18471,1,0
Beauty,H.265,960x480,429,32,0.007758247,26.21724,1,0
Beauty,H.265,960x480,232.5,37,0.004204644,26.260083,1,0
Beauty,H.265,960x480,139,42,0.002513744,26.293585,1,0
Beauty,H.265,960x480,103565.2,17,1.8729239,26.092099,0,1
Beauty,H.265,960x480,43607.5,22,0.78861943,26.123136,0,1
Beauty,H.265,960x480,16262.2,27,0.294093605,26.156214,0,1
Beauty,H.265,960x480,8914.4,32,0.161212384,26.175756,0,1
Beauty,H.265,960x480,5760,37,0.104166667,26.19333,0,1
Beauty,H.265,960x480,4104.3,42,0.074224175,26.193543,0,1
Bosphorus,H.265,960x480,5806.8,17,0.105013021,27.319805,1,0
Bosphorus,H.265,960x480,2601.8,22,0.047052228,27.366932,1,0
Bosphorus,H.265,960x480,1106.4,27,0.020008681,27.45536,1,0
Bosphorus,H.265,960x480,475,32,0.008590133,27.58238,1,0
Bosphorus,H.265,960x480,234.5,37,0.004240813,27.725238,1,0
Bosphorus,H.265,960x480,135,42,0.002441406,27.882077,1,0
Bosphorus,H.265,960x480,105843.2,17,1.91412037,27.284044,0,1
Bosphorus,H.265,960x480,65221.5,22,1.179497613,27.315776,0,1
Bosphorus,H.265,960x480,38220.6,27,0.691200087,27.376079,0,1
Bosphorus,H.265,960x480,21546.9,32,0.389664714,27.445663,0,1
Bosphorus,H.265,960x480,12202,37,0.220666956,27.544414,0,1
Bosphorus,H.265,960x480,7221.7,42,0.130600767,27.666953,0,1
HoneyBee,H.265,960x480,3481.9,17,0.062968388,38.398829,1,0
HoneyBee,H.265,960x480,951.8,22,0.017212818,38.290487,1,0
HoneyBee,H.265,960x480,474.8,27,0.008586516,37.715497,1,0
HoneyBee,H.265,960x480,295.2,32,0.005338542,36.831653,1,0
HoneyBee,H.265,960x480,198.1,37,0.003582538,35.588786,1,0
HoneyBee,H.265,960x480,143.9,42,0.002602358,33.773305,1,0
HoneyBee,H.265,960x480,116385.4,17,2.104770689,38.105163,0,1
HoneyBee,H.265,960x480,69618.3,22,1.259011502,38.032086,0,1
HoneyBee,H.265,960x480,43516.9,27,0.786980975,37.620471,0,1
HoneyBee,H.265,960x480,27132.6,32,0.490679253,36.744434,0,1
HoneyBee,H.265,960x480,17185,37,0.310781973,35.302608,0,1
HoneyBee,H.265,960x480,11445.5,42,0.206986039,33.524829,0,1
