,Vid,CurEpoch,Train Time,Compression Method,Compression Encoding Time,Compression Decoding Time,"FPS (Quantized, Full Pass)","FPS (Quantized, Forward Pass)","FPS (Full Model, Full Pass)","FPS (Full Model, Forward Pass)",Encoding / Training Time Total (Full Pass),Encoding / Training Time Total (Forward Pass),Encoding / Training Time per Epoch (Full Pass),Encoding / Training Time per Epoch (Forward Pass),Split,Embed,Crop,Resize,Lr_type,LR (E-3),Batch,Size (M),ModelSize,Epoch,Loss,Act,Norm,FC,Reduce,ENC_type,ENC_strds,KS,enc_dim,DEC,DEC_strds,lower_width,Quant,bits/param,bits/param w/ overhead,bits/pixel,PSNR_list_50,Evaluation Quant Overall PSNR,Evaluation Orig Overall PSNR,best_pred_seen_psnr,best_pred_seen_ssim,best_pred_unseen_psnr,best_pred_unseen_ssim,best_quant_seen_psnr,best_quant_seen_ssim,best_quant_unseen_psnr,best_quant_unseen_ssim,pred_seen_psnr,pred_seen_ssim,pred_unseen_psnr,pred_unseen_ssim,BPS
0,8bit_SunBath_QTM8_QTE6,300,0:50:24.003284,huffman,0.0644202232360839,2.3532509803771973,133.01583240923875,143.92112842823028,138.17445484234406,149.9979794297605,814.542475938797,255.2727406024933,2.7151415864626567,0.8509091353416443,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.42_1.46,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.78568630262646,8.25352981414231,0.0870198712384259,"25.37,27.89,29.55,30.91,31.7,31.82,31.82,31.82",31.514930136299363,31.75140194928641,31.82,0.9606,0.0,0.0,31.59,0.9594,0.0,0.0,31.82,0.9606,0.0,0.0,2004937.8333
0,8bit_RaceNight_QTM8_QTE6,300,1:35:47.762559,huffman,0.0664870738983154,2.540431499481201,137.82602056922337,149.16860710897765,142.2198190349499,154.2164043991018,1521.5277168750763,444.0669119358063,5.071759056250254,1.480223039786021,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.832128239493033,8.296018153180663,0.0431876338252314,"22.55,25.08,26.13,26.85,27.26,27.33,27.33,27.33",27.013725075028226,27.171285361462104,27.33,0.9111,0.0,0.0,27.17,0.9096,0.0,0.0,27.33,0.9111,0.0,0.0,995043.0833
0,8bit_FlowerKids_QTM8_QTE6,300,1:34:36.906566,huffman,0.0670146942138671,2.554110527038574,135.7421375431418,146.9955536542196,141.64364739614425,153.89358507660856,1527.6909999847412,448.64569067955017,5.09230333328247,1.495485635598501,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.819593040261737,8.283482953949365,0.0431223777488425,"24.86,25.98,26.73,27.24,27.47,27.51,27.51,27.51",27.34226869705662,27.441276746561357,27.51,0.9085,0.0,0.0,27.41,0.9073,0.0,0.0,27.51,0.9085,0.0,0.0,993539.5833
0,8bit_FlowerFocus_QTM8_QTE6,300,1:36:04.753925,huffman,0.0666115283966064,2.5401387214660645,135.8299241579468,146.98836741835143,141.09473030539883,153.0427819171324,1530.124171257019,445.612199306488,5.100413904190064,1.4853739976882934,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.81334003100103,8.27722994468866,0.0430898256655092,"34.42,35.77,37.19,38.01,38.51,38.59,38.59,38.59",38.363551931441364,38.49087607133696,38.59,0.9783,0.0,0.0,38.46,0.978,0.0,0.0,38.59,0.9783,0.0,0.0,992789.5833
0,8bit_RiverBank_QTM8_QTE6,300,1:34:32.885050,huffman,0.0668964385986328,2.53821325302124,136.1353265799295,147.5380882328025,141.2252891895062,153.50303937045624,1521.537575006485,446.3561887741089,5.071791916688284,1.487853962580363,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.826601274085376,8.290491187773005,0.0431588614004629,"28.72,29.9,30.49,30.88,31.11,31.15,31.15,31.15",31.07886444705653,31.14355336914305,31.15,0.9547,0.0,0.0,31.09,0.9542,0.0,0.0,31.15,0.9547,0.0,0.0,994380.1667
0,8bit_CityAlley_QTM8_QTE6,300,1:01:03.376778,huffman,0.0670018196105957,2.5302743911743164,134.40899020093607,145.7414627052772,140.04550314228112,152.38166284640113,928.460114955902,273.41916680336,3.094867049853007,0.9113972226778666,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.812170023490472,8.2760599371781,0.0430837348090277,"38.89,40.6,41.01,41.09,41.09,41.09",40.910336486218824,41.017325502688855,41.09,0.9938,0.0,0.0,40.98,0.9937,0.0,0.0,41.09,0.9938,0.0,0.0,992649.25
0,8bit_YatchRide_QTM8_QTE6,300,1:15:14.024658,huffman,0.058713674545288,2.3411076068878174,137.37639599790054,149.0853544208299,142.3299426377928,154.95601646833276,1219.891229391098,425.8426909446716,4.066304097970327,1.4194756364822387,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.81548759229268,8.279377505980309,0.0431010054976851,"27.41,28.01,28.53,28.77,28.81,28.81,28.81",28.704296977310552,28.780798566350512,28.81,0.9193,0.0,0.0,28.73,0.9183,0.0,0.0,28.81,0.9193,0.0,0.0,2383313.2
0,8bit_ShakeNDry_QTM8_QTE6,300,0:48:55.996256,huffman,0.0685160160064697,2.578731775283813,133.3382784946731,144.2127730340056,139.1926746286805,151.04452285418165,770.988422870636,222.43763661384585,2.5699614095687866,0.7414587887128194,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.42_1.46,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.778089800914297,8.245933312430147,0.0869397786458333,"32.1,33.22,33.83,34.59,34.85,34.89,34.89,34.89",34.33823000731998,34.3786090972733,34.89,0.9668,0.0,0.0,34.83,0.9667,0.0,0.0,34.89,0.9668,0.0,0.0,4807422.0
0,8bit_Jockey_QTM8_QTE6,300,0:46:40.587834,huffman,0.0704824924468994,2.5337655544281006,136.17783176492705,147.6419827601582,141.641048477531,153.91208907612838,664.6445734500885,196.0619115829468,2.215481911500295,0.6535397052764893,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.828353506235987,8.292243419923617,0.0431679832175925,"30.18,30.61,30.67,30.67,30.67",30.33177752856367,30.47547858539908,30.67,0.8891,0.0,0.0,30.53,0.8878,0.0,0.0,30.67,0.8891,0.0,0.0,2387016.8
0,8bit_Bosphorus_QTM8_QTE6,300,1:42:16.368930,huffman,0.0672612190246582,2.376842498779297,135.23595738925175,147.03857414471662,141.08948576037986,153.9909362183267,1750.980058670044,623.6046643257141,5.836600195566813,2.078682214419047,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,1,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.820180823132244,8.284070736819872,0.0431254376446759,"31.53,32.63,33.3,33.77,34.01,34.05,34.05,34.05",33.9454888459514,34.01964535650678,34.05,0.9607,0.0,0.0,33.97,0.9602,0.0,0.0,34.05,0.9607,0.0,0.0,2384664.2
