,Vid,CurEpoch,Train Time,Compression Method,Compression Encoding Time,Compression Decoding Time,"FPS (Quantized, Full Pass)","FPS (Quantized, Forward Pass)","FPS (Full Model, Full Pass)","FPS (Full Model, Forward Pass)",Encoding / Training Time Total (Full Pass),Encoding / Training Time Total (Forward Pass),Encoding / Training Time per Epoch (Full Pass),Encoding / Training Time per Epoch (Forward Pass),Split,Embed,Crop,Resize,Lr_type,LR (E-3),Batch,Size (M),ModelSize,Epoch,Loss,Act,Norm,FC,Reduce,ENC_type,ENC_strds,KS,enc_dim,DEC,DEC_strds,lower_width,Quant,bits/param,bits/param w/ overhead,bits/pixel,PSNR_list_50,Evaluation Quant Overall PSNR,Evaluation Orig Overall PSNR,best_pred_seen_psnr,best_pred_seen_ssim,best_pred_unseen_psnr,best_pred_unseen_ssim,best_quant_seen_psnr,best_quant_seen_ssim,best_quant_unseen_psnr,best_quant_unseen_ssim,pred_seen_psnr,pred_seen_ssim,pred_unseen_psnr,pred_unseen_ssim,BPS
0,2x_Twilight_QTM32_QTE6,600,7:02:00.733412,huffman,0.0665490627288818,0.6847634315490723,64.58582809794201,76.38321172314154,65.79829702901851,78.09026964417976,5948.756812334061,1168.6849701404572,9.914594687223437,1.9478082835674289,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.264994152882285,1.2660524547311385,0.0012235387731481,"32.27,34.83,35.65,36.08,36.58,36.97,37.22,37.4,37.57,37.66,37.69,37.69,37.69,37.69",37.50359028244189,37.53131462020774,37.69,0.9759,0.0,0.0,37.67,0.9758,0.0,0.0,37.69,0.9759,0.0,0.0,112761.3333
0,2x_SunBath_QTM32_QTE6,600,3:33:56.519167,huffman,0.0626227855682373,0.6581845283508301,64.86592486088628,76.75077532061346,66.20060929398238,78.61798328186234,3101.233586549759,627.020444393158,5.168722644249598,1.0450340739885966,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.5,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.105395485190274,1.1064605499994675,0.0012064525462962,"23.47,25.65,27.64,28.25,29.31,30.02,30.59,31.03,31.47,31.71,31.79,31.8,31.8,31.8",31.600540092502044,31.743263060721446,31.8,0.9429,0.0,0.0,31.66,0.942,0.0,0.0,31.8,0.9429,0.0,0.0,111186.6667
0,2x_Bosphorus_QTM32_QTE6,600,7:02:48.721272,huffman,0.0626857280731201,0.6353907585144043,64.82720232936488,76.67128639329543,65.88440151930503,78.17567040315393,5873.8291301727295,1131.4595232009888,9.78971521695455,1.885765872001648,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.1334975024076368,1.13455580425649,0.0005461950231481,"30.08,31.31,31.68,32.19,32.45,32.64,32.83,32.98,33.09,33.16,33.18,33.19,33.19,33.19",33.12147185629782,33.16373189166405,33.19,0.9304,0.0,0.0,33.15,0.9299,0.0,0.0,33.19,0.9304,0.0,0.0,120809.6
0,2x_RaceNight_QTM32_QTE6,600,6:59:21.954014,huffman,0.0626118183135986,0.643195390701294,64.88195943547196,76.75633499631756,66.16450072769366,78.56233971185158,5843.731931686401,1102.1588416099548,9.739553219477337,1.8369314026832584,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.133740911832873,1.1347992136817262,0.0005682436342592,"21.87,23.45,24.65,25.08,25.46,25.89,26.24,26.47,26.67,26.79,26.84,26.84,26.84,26.84",26.57739526828273,26.71823621979143,26.84,0.8676,0.0,0.0,26.71,0.866,0.0,0.0,26.84,0.8676,0.0,0.0,52369.3333
0,2x_FlowerKids_QTM32_QTE6,600,7:03:43.157742,huffman,0.0640969276428222,0.6462297439575195,64.97227918674668,76.91091150550174,66.36256825409927,78.87221039238744,6266.356215715408,1326.243170261383,10.443927026192346,2.210405283768972,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.1839619646315522,1.1850202664804057,0.0008457826967592,"23.69,24.97,25.49,25.91,26.19,26.38,26.62,26.77,26.88,26.94,26.96,26.96,26.96,26.96",26.861386316749982,26.914885146978122,26.96,0.8622,0.0,0.0,26.91,0.8614,0.0,0.0,26.96,0.8622,0.0,0.0,77947.3333
0,2x_Beauty_QTM32_QTE6,600,6:58:33.950881,huffman,0.0637581348419189,0.6528444290161133,64.89778939295128,76.8086376901211,66.18360484992515,78.61281123515691,6318.549067974091,1357.6956424713137,10.53091511329015,2.2628260707855223,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.1667916785725625,1.1678499804214155,0.0007714337384259,"29.58,30.94,31.46,31.8,31.98,32.15,32.24,32.37,32.43,32.46,32.47,32.47,32.47,32.47",32.43414658876971,32.45357883588075,32.47,0.887,0.0,0.0,32.45,0.8867,0.0,0.0,32.47,0.887,0.0,0.0,170628.8
0,2x_CityAlley_QTM32_QTE6,600,6:02:33.577684,huffman,0.065889835357666,0.6512820720672607,65.00779138010186,76.92643279921981,66.24449522715682,78.6704814478946,4950.56155538559,929.1492822170258,8.250935925642649,1.5485821370283763,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.2104902847890275,1.2115485866378808,0.0009170138888888,"34.25,34.74,35.65,35.48,36.28,36.35,36.49,36.69,36.77,36.81,36.81,36.81,36.81",36.75883355988452,36.785714625081326,36.81,0.9787,0.0,0.0,36.79,0.9786,0.0,0.0,36.81,0.9787,0.0,0.0,84512.0
0,2x_ReadySteadyGo_QTM32_QTE6,600,7:08:25.188475,huffman,0.0627872943878173,0.6394822597503662,65.07292984680035,77.03920994430521,66.25308613698579,78.71146990147236,6207.295415639877,1301.5723865032196,10.345492359399795,2.1692873108386994,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.1378577060249124,1.1389160078737657,0.0005877748842592,"20.34,21.22,22.07,22.66,23.01,23.22,23.66,23.83,24.01,24.08,24.11,24.12,24.12,24.12",23.954847970635566,24.038564423163194,24.12,0.8074,0.0,0.0,24.03,0.8057,0.0,0.0,24.12,0.8074,0.0,0.0,130006.4
0,2x_FlowerFocus_QTM32_QTE6,600,7:09:04.546215,huffman,0.0641570091247558,0.6430683135986328,65.02163484332405,76.93451566179844,66.24920547650942,78.65460000108766,6395.567603111267,1362.7696962356567,10.65927933851878,2.271282827059428,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.17103017747722,1.1720884793260733,0.0006926142939814,"31.39,33.95,35.09,35.28,36.01,36.23,36.52,36.83,37.01,37.14,37.17,37.18,37.18,37.18",37.06354745550138,37.112063929978675,37.18,0.9574,0.0,0.0,37.13,0.9572,0.0,0.0,37.18,0.9574,0.0,0.0,63831.3333
0,2x_Jockey_QTM32_QTE6,600,6:14:23.845009,huffman,0.0633316040039062,0.6325662136077881,64.88281590605905,76.77843652492251,66.14965519191945,78.5622906609056,5184.7608280181885,996.1827149391174,8.64126804669698,1.660304524898529,1_1_1,,960_1920,-1,cosine_0.1_1_0.1,1.0,1,0.33_1.49_1.51,1.5,600,L2,gelu,none,9_16,1.2,convnext,"5,4,4,3,2",0_1_5,64_16,pshuffel,"5,4,4,3,2",12,quant_M32_E6,1.119937348530548,1.1209956503794012,0.0004642216435185,"26.2,27.26,28.04,28.6,29.28,29.67,30.01,30.21,30.34,30.38,30.38,30.38,30.38",30.02003932347054,30.143874913976838,30.38,0.8641,0.0,0.0,30.26,0.8629,0.0,0.0,30.38,0.8641,0.0,0.0,102678.4
